locality_id,lat,long,locality
141,-37.873557,145.049328,CAULFIELD EAST
142,-37.857116,145.057833,GLEN IRIS
143,-37.867864,145.092946,ASHBURTON
144,-37.882562,145.090149,CHADSTONE
145,-37.8736,145.112084,JORDANVILLE
146,-37.880748,145.128118,MOUNT WAVERLEY
147,-37.914383,145.168834,BRANDON PARK
148,-37.876968,145.170841,GLEN WAVERLEY
149,-37.85523,145.151119,BURWOOD EAST
150,-37.864951,145.221695,KNOX CITY CENTRE
151,-37.845116,145.270141,BAYSWATER
152,-37.856009,145.31784,THE BASIN
153,-37.861799,145.284418,BORONIA
154,-37.917932,145.292895,FERNTREE GULLY
155,-37.910077,145.324468,UPWEY
156,-37.921894,145.3892,MENZIES CREEK
157,-37.935097,145.350821,BELGRAVE
158,-37.873733,145.019929,CAULFIELD JUNCTION
159,-37.892139,145.023394,CAULFIELD
160,-37.896497,145.057237,BOORAN ROAD PO
161,-38.02243,145.23738,DANDENONG SOUTH
162,-37.922369,145.059426,BENTLEIGH EAST
163,-37.902805,145.089719,HUGHESDALE
164,-37.923345,145.087614,OAKLEIGH SOUTH
165,-37.91342,145.12665,CLAYTON
166,-37.945149,145.115271,CLARINDA
167,-37.920945,145.167859,MULGRAVE
168,-37.944608,145.156783,SANDOWN VILLAGE
169,-37.975981,145.13465,DINGLEY VILLAGE
170,-38.006771,145.164863,KEYSBOROUGH
171,-37.966218,145.17877,NOBLE PARK
172,-38.016114,145.208504,BANGHOLME
173,-37.8992,145.23,SCORESBY BC
174,-37.990985,145.237462,DOVETON
175,-37.924431,145.241589,ROWVILLE
176,-37.897137,145.222634,SCORESBY
177,-37.893263,145.246731,KNOXFIELD
178,-37.854683,144.995504,PRAHRAN
179,-37.865322,144.979478,ST KILDA
180,-37.869072,144.999026,BALACLAVA
181,-37.881414,144.984034,BRIGHTON ROAD
182,-37.891841,145.002571,ELSTERNWICK
183,-37.915066,144.996329,BRIGHTON
184,-37.925371,145.013593,BRIGHTON EAST
185,-37.938889,145.007238,HAMPTON
186,-37.942021,145.047802,MOORABBIN
187,-37.951394,145.038147,HIGHETT
188,-37.956585,145.013472,SANDRINGHAM
189,-37.965655,145.0623,CHELTENHAM
190,-37.978698,145.031561,BEAUMARIS
191,-37.985059,145.067356,MENTONE
192,-38.007024,145.104105,ASPENDALE
193,-38.046479,145.122762,BONBEACH
194,-38.072748,145.134111,CARRUM
195,-38.103194,145.137811,BELVEDERE PARK
196,-38.162578,145.135961,FRANKSTON
197,-38.126458,145.157574,FRANKSTON NORTH
198,-38.092874,145.177905,CARRUM DOWNS
199,-37.960555,145.092698,HEATHERTON
200,-37.916956,145.036783,BENTLEIGH
201,-37.831693,144.958176,SOUTH MELBOURNE
202,-37.846534,144.95086,ALBERT PARK
203,-37.832179,144.918044,GARDEN CITY
204,-37.943586,144.498479,LITTLE RIVER
205,-38.039958,144.422666,AVALON
206,-37.9406,144.2894,ANAKIE
207,-38.091,144.2779,BATESFORD
208,-38.04070313,144.3223578,LOVELY BANKS
209,-38.038,144.2771,MOORABOOL
210,-38.084781,144.352385,CORIO
211,-38.111002,144.33452,BELL PARK
212,-38.215906,144.334005,BELMONT
