,locality,lat,lon,locality_id,city_id,city_name,max_uv,datetime,t_solar_rad,uv_levels,uv_id
53,ALTONA,-37.86172,144.812736,15,2177992,Altona,1.7,2022-07-31,1772.7,LOW,0
54,ALTONA,-37.86172,144.812736,15,2177992,Altona,3.5,2022-08-03,3334.1,MODERATE,1
55,ALTONA,-37.86172,144.812736,15,2177992,Altona,2.4,2022-08-01,2555.6,LOW,0
56,BRAYBROOK,-37.784683,144.854014,16,8349364,Braybrook,2.7,2022-08-02,2955.5,LOW,0
57,BRAYBROOK,-37.784683,144.854014,16,8349364,Braybrook,2.3,2022-07-31,1908.6,LOW,0
58,BRAYBROOK,-37.784683,144.854014,16,8349364,Braybrook,2.3,2022-08-01,2337.2,LOW,0
59,BRAYBROOK,-37.784683,144.854014,16,8349364,Braybrook,3.6,2022-08-03,3353.6,MODERATE,1
60,ALBION,-37.777204,144.829945,17,9972577,Sunshine North,2.7,2022-08-02,2955.5,LOW,0
61,ALBION,-37.777204,144.829945,17,9972577,Sunshine North,2.3,2022-07-31,1908.6,LOW,0
62,ALBION,-37.777204,144.829945,17,9972577,Sunshine North,2.3,2022-08-01,2337.2,LOW,0
63,ALBION,-37.777204,144.829945,17,9972577,Sunshine North,3.6,2022-08-03,3353.6,MODERATE,1
64,ALBANVALE,-37.743361,144.796693,18,8015209,St Albans,1.4,2022-07-31,1936.4,LOW,0
65,ALBANVALE,-37.743361,144.796693,18,8015209,St Albans,3.6,2022-08-03,3361.4,MODERATE,1
66,ALBANVALE,-37.743361,144.796693,18,8015209,St Albans,1.6,2022-08-02,1910.5,LOW,0
67,ALBANVALE,-37.743361,144.796693,18,8015209,St Albans,2.9,2022-08-01,2859.6,LOW,0
68,ARDEER,-37.795937,144.793961,19,9972578,Sunshine West,3.0,2022-08-02,3000.0,MODERATE,1
69,ARDEER,-37.795937,144.793961,19,9972578,Sunshine West,1.7,2022-07-31,1772.7,LOW,0
70,ARDEER,-37.795937,144.793961,19,9972578,Sunshine West,3.5,2022-08-03,3334.1,MODERATE,1
71,ARDEER,-37.795937,144.793961,19,9972578,Sunshine West,2.4,2022-08-01,2555.6,LOW,0
72,BURNSIDE,-37.78272,144.770641,20,2169018,Derrimut,3.0,2022-08-02,3000.0,MODERATE,1
73,BURNSIDE,-37.78272,144.770641,20,2169018,Derrimut,1.7,2022-07-31,1772.7,LOW,0
74,BURNSIDE,-37.78272,144.770641,20,2169018,Derrimut,3.5,2022-08-03,3334.1,MODERATE,1
75,BURNSIDE,-37.78272,144.770641,20,2169018,Derrimut,2.4,2022-08-01,2555.6,LOW,0
76,BURNSIDE HEIGHTS,-37.73218752,144.755657,21,9972585,Burnside Heights,1.4,2022-07-31,1936.4,LOW,0
77,BURNSIDE HEIGHTS,-37.73218752,144.755657,21,9972585,Burnside Heights,3.6,2022-08-03,3361.4,MODERATE,1
